855,15672
764,10672
737,15469
1121,16750
1,16652
1169,13659
693,13679
126,1984
672,15956
708,2139
33,2856
8,8434
1322,16010
1038,12401
889,10728
852,13306
652,1452
766,6775
126,7291
633,9533
71,13064
620,802
42,8564
707,13037
703,8605
780,12164
745,10368
1541,7120
142,6117
815,12470
7,11696
960,7023
1322,284
735,16381
737,3030
648,2253
105,15296
972,16003
1331,8300
126,7863
619,7653
1099,1037
817,16007
774,13267
708,7601
127,9079
13,15040
17,8939
829,15064
620,8138
895,7254
228,12224
716,3570
4,11479
674,234
817,9708
56,4706
650,9165
762,4767
707,9516
650,1078
611,11438
1331,6674
692,601
708,3403
615,10088
817,8202
615,16885
762,10799
895,1417
709,2353
997,675
647,6270
601,760
895,8194
650,14885
631,596
911,1992
745,5583
74,6240
624,11204
609,5970
693,785
855,1015
654,9893
42,6905
620,6224
228,8536
762,8819
722,13451
619,5729
609,9762
785,8582
817,8622
1010,6673
770,16669
62,9455
1030,3051
672,12100
708,3843
56,14597
1385,16241
1432,16047
628,379
206,3307
611,4429
718,13164
3,6810
652,4354
780,3965
1179,11143
764,14368
1516,5248
1030,15578
4,13015
62,14253
1,6993
1280,10964
706,7513
803,12259
960,4270
601,8462
643,3632
1466,2561
873,681
142,14446
65,15139
142,5712
151,5378
62,5156
668,14831
616,9143
1160,10921
774,2270
960,6396
112,2299
24,9951
643,16178
762,3077
1541,14364
772,16297
20,6825
31,15691
1121,883
3,3929
23,16089
817,4948
616,7167
707,11236
802,8019
647,13755
16,5106
85,282
624,6280
142,10992
691,8222
23,16563
1121,7245
636,707
774,98
78,9520
6,16074
11,7448
652,14725
78,1239
686,11388
684,11661
15,7394
647,8420
1165,15988
999,12671
7,9209
706,8084
654,8032
1,8971
829,8396
7,6720
643,10666
228,11386
717,13587
33,9610
686,14578
735,4421
706,1584
647,2223
1011,16001
33,2232
1331,10508
871,11250
891,16149
1204,10288
1038,1856
693,13339
735,13923
803,12335
1231,1283
636,4058
758,886
1276,7187
772,11121
636,7315
602,4798
1057,1884
636,3587
3,6008
65,10430
151,9363
635,16196
717,14429
997,2720
49,1664
691,12310
1432,2910
1010,12082
1521,7343
1030,4200
703,3736
693,13339
1292,805
65,13385
772,8495
997,4112
76,11818
31,3428
773,6594
1089,80
11,8281
941,15345
37,15737
911,15471
633,4661
673,14237
709,2039
1038,8521
737,16806
1121,7529
76,1557
691,5816
1,16852
705,6444
817,1324
780,12963
763,3752
1280,15780
1010,2149
1322,3759
648,1788
654,2578
773,14558
852,13887
4,4543
1331,9874
127,6930
654,275
703,4150
1025,14172
142,3075
960,3490
1165,10806
7,12570
693,11487
654,1991
65,668
697,9346
783,13120
722,12014
42,12319
151,16020
766,5294
1322,583
62,13183
707,7855
764,4166
33,541
764,10672
1189,13922
758,14205
1165,8779
1089,1482
6,16711
758,11468
1311,13005
803,6276
819,13062
745,9568
1011,2431
707,15550
716,16265
27,15043
783,1725
832,1295
9,1477
997,11282
722,8500
1521,4910
1521,10569
604,2413
708,12227
27,703
1292,4518
1030,5303
763,14350
648,9640
745,834
668,7525
631,9054
1204,5675
697,1662
602,12587
1268,14396
891,11085
1179,14389
619,10075
829,9680
785,14655
602,4045
75,14441
716,11511
764,3782
33,4466
35,4747
74,10614
127,9079
1030,6401
1089,14879
1204,5479
735,2077
13,9236
737,667
1331,8247
27,6618
737,8144
19,10721
633,1854
1160,5055
49,15376
76,3124
31,305
20,9180
631,11471
684,15676
37,2576
673,4289
780,4892
1,1881
17,8613
762,14901
38,14448
4,1492
20,14029
28,15669
652,604
74,213
774,4845
960,5574
716,8735
706,3369
1010,14497
615,6024
650,11608
28,5266
1030,6962
819,5371
718,11682
8,3257
34,2513
706,16529
672,3526
932,7692
78,12461
33,15103
836,15438
1179,5546
632,10506
725,10014
611,13541
10,4186
972,10003
773,15683
855,9971
892,5315
624,6578
62,5988
1089,16598
673,9092
60,10333
758,13130
773,15683
1165,7667
105,16643
941,9758
781,16199
1385,10541
803,13327
17,4232
832,14070
127,5308
667,9174
60,8507
60,3642
889,9781
643,630
1011,6999
855,2700
773,15492
2,9674
932,839
56,15656
4,4514
3,8639
19,4583
852,7824
31,11635
1541,5037
770,812
13,12872
764,10397
717,14646
891,8869
725,9910
889,8897
643,14436
1204,4356
3,12278
632,7947
74,14620
758,7413
766,15589
708,9962
1179,4183
20,10287
1121,16333
49,1757
619,5579
16,10871
628,10283
796,6498
1516,8102
735,5910
34,13485
716,15145
892,13578
817,3905
632,2844
999,14994
76,5795
56,4719
17,797
766,4664
1089,12433
648,9957
602,8469
33,99
1,5870
972,10572
6,1531
60,2909
693,13339
20,2733
654,2578
19,13405
668,12589
33,2232
895,606
815,1431
999,5207
76,7747
1165,8765
141,7602
13,6172
1276,1524
15,2406
37,1084
687,12047
1521,7082
611,2126
31,177
74,10425
871,16509
1385,4748
27,7046
1179,4208
1268,2284
762,1043
141,7787
34,11046
873,341
57,11732
635,8679
7,13950
770,2504
631,14258
142,613
855,9018
691,2491
659,4160
1089,48
652,9250
1280,4606
1460,10675
735,13312
659,10408
78,12719
648,14391
815,14722
772,15749
1247,1673
602,12142
648,16530
762,12825
762,4645
624,11257
1331,3191
34,5662
852,15548
668,11496
620,2723
23,11795
687,12120
1169,7401
703,6634
1322,8017
819,12352
56,12810
3,15906
648,15675
1030,6478
780,852
895,1694
691,13650
65,13270
15,12971
1516,5182
1268,7568
628,9024
75,16477
49,14709
855,12090
127,12857
836,9707
972,2432
124,4116
808,2240
999,15381
941,6829
772,12627
71,11998
17,307
770,6782
75,2765
625,9076
1292,9007
1231,3532
941,324
1280,10129
142,16192
972,4294
8,14043
692,6727
722,3538
941,3196
686,7093
1010,2237
1292,9007
74,3553
228,15461
889,11320
895,8549
105,15474
1121,16333
601,10431
76,8433
972,4300
1025,6142
891,16283
796,11319
722,7841
34,11046
1169,2184
1169,6352
1089,12546
16,4022
609,12280
1268,9699
1460,2246
1460,11373
745,1140
693,2637
11,8738
1460,15738
705,1117
35,11315
895,1098
773,581
35,4747
7,103
4,8497
819,2159
659,14462
972,4931
889,2024
75,8436
34,6265
633,7526
75,12233
33,9509
624,3774
815,795
801,5129
781,13480
780,12377
11,7491
783,13511
709,5568
8,8448
801,9160
1311,7941
34,1659
1030,970
709,11610
632,15437
802,8019
633,11802
28,11721
1011,2951
1460,819
71,8381
609,14727
633,218
891,334
1432,2910
611,2097
60,7090
9,2902
999,7827
24,9766
602,13935
1292,8850
718,13154
1292,3126
889,10118
941,12004
650,4866
1179,8543
770,12252
38,3643
632,7947
717,14429
764,7829
667,1539
764,6407
625,13027
706,490
57,9505
3,10621
815,648
999,10106
668,449
781,9163
1160,9136
1169,16653
616,11979
772,11993
796,12586
654,12110
615,5196
105,3352
1,16894
673,9430
691,16478
1385,3167
1089,9497
659,5081
836,7272
19,12764
725,12732
707,15450
57,15133
31,1705
774,6017
773,2707
972,4677
604,12515
1030,9548
672,3450
716,14741
141,9515
17,5135
1169,3880
6,5582
647,14930
762,14551
972,4931
1,299
142,14911
717,2756
770,6148
668,12798
832,13918
687,2220
745,13304
