business,price,price2,flightID,passengerID
0,46,46,4,92489
0,107,107,4,81383
0,183,183,4,53023
1,119,269,4,67771
0,143,143,4,14477
0,159,159,4,38838
0,42,42,4,10199
0,57,57,4,15182
0,171,171,4,46661
0,37,37,4,19702
0,199,199,4,76624
0,194,194,4,2456
0,83,83,4,52546
0,164,164,4,59536
0,191,191,4,30967
0,76,76,4,56580
0,72,72,4,2786
0,184,184,4,35865
0,85,85,4,38299
0,152,152,4,44619
0,44,44,4,20548
0,145,145,4,72429
0,93,93,4,55591
0,58,58,4,4334
0,92,92,4,94592
0,145,145,4,58657
0,132,132,4,19703
0,51,51,4,87147
0,145,145,4,76638
0,189,189,4,10534
0,52,52,4,18116
0,196,196,4,85350
0,183,183,4,19740
0,49,49,4,84328
0,34,34,4,13152
0,90,90,4,82368
1,138,288,4,34501
0,149,149,4,19343
0,66,66,4,39399
0,59,59,4,64727
0,45,45,4,10205
0,168,168,4,75840
0,138,138,4,91767
0,113,113,4,73024
0,129,129,4,80824
0,136,136,4,94409
0,123,123,4,46750
0,155,155,4,79072
0,135,135,4,9717
1,95,245,4,4635
0,68,68,4,57729
0,74,74,4,86897
0,147,147,4,26373
0,96,96,4,38790
0,129,129,4,7415
0,79,79,4,45644
0,30,30,4,63387
0,191,191,4,1699
0,128,128,4,5077
0,147,147,4,24223
0,57,57,4,69814
0,131,131,4,41003
0,91,91,4,36816
0,155,155,4,37709
0,160,160,4,6769
1,169,319,4,2090
0,199,199,4,50261
0,152,152,4,82763
0,118,118,4,7139
0,149,149,4,96647
0,41,41,4,50803
0,49,49,4,50758
0,171,171,4,71305
0,119,119,4,62577
0,135,135,4,14982
0,118,118,4,90608
0,86,86,4,51667
0,89,89,4,59444
0,50,50,4,78619
0,92,92,4,17623
0,39,39,4,50942
0,172,172,4,43010
0,130,130,4,82324
0,105,105,4,24037
0,70,70,4,75148
0,145,145,4,91932
0,179,179,4,74364
0,187,187,4,82709
0,106,106,4,89964
0,30,30,4,23643
0,39,39,4,3903
0,71,71,4,65655
0,165,165,4,35390
0,185,185,4,14305
0,168,168,4,23244
0,66,66,4,59494
0,84,84,4,6404
0,92,92,4,42197
0,134,134,4,38672
0,64,64,4,42114
0,75,75,4,11372
0,40,40,4,37256
0,191,191,4,78923
0,90,90,4,25720
0,67,67,4,16874
1,132,282,4,69297
0,188,188,4,81182
0,114,114,4,41910
0,150,150,4,58454
0,164,164,4,6046
0,147,147,4,77534
0,115,115,4,2979
0,84,84,4,31085
0,171,171,4,80296
0,33,33,4,79752
0,38,38,4,66318
0,140,140,4,48542
0,161,161,4,39922
0,45,45,4,21285
0,96,96,4,77018
0,91,91,4,77314
0,32,32,4,3989
0,155,155,4,65187
0,38,38,4,21555
0,135,135,4,2733
0,196,196,4,69717
0,157,157,4,74438
0,179,179,4,29136
0,145,145,4,25238
0,157,157,4,51849
0,142,142,4,34710
1,78,228,4,95041
0,57,57,4,92975
0,94,94,4,38015
0,88,88,4,82757
0,151,151,4,6298
0,175,175,4,77299
0,122,122,4,40234
0,48,48,4,10326
0,103,103,4,84316
0,58,58,4,29489
0,108,108,4,38125
0,185,185,4,59505
0,185,185,4,90816
0,107,107,4,65432
0,106,106,4,42610
1,172,322,4,6436
0,33,33,4,68997
0,50,50,4,85745
0,197,197,4,76995
0,142,142,4,10068
0,137,137,4,49967
0,146,146,4,78652
0,84,84,4,39858
1,91,241,4,53569
0,195,195,4,80306
0,68,68,4,23998
0,179,179,4,56961
0,106,106,4,56694
0,47,47,4,71441
0,98,98,4,3148
0,123,123,4,37979
0,31,31,4,52511
0,110,110,4,21840
0,146,146,4,24782
0,142,142,4,40754
0,148,148,4,50440
0,157,157,4,78551
0,65,65,4,9803
1,55,205,4,52002
0,30,30,4,57454
0,83,83,4,29767
0,116,116,4,23741
1,132,282,4,58274
0,194,194,4,72222
0,159,159,4,50090
0,95,95,4,967
0,190,190,4,33633
0,198,198,4,79099
0,192,192,4,35648
0,151,151,4,12572
0,195,195,4,21324
1,40,190,4,33689
0,177,177,4,21275
0,53,53,4,88859
0,143,143,4,40290
0,41,41,4,5927
0,159,159,4,5676
0,144,144,4,334
0,175,175,4,49270
0,153,153,4,75522
0,133,133,4,71641
0,177,177,4,80868
0,65,65,4,1381
0,99,99,4,19678
0,105,105,4,80209
0,82,82,4,11636
0,112,112,4,92831
0,96,96,4,44074
0,121,121,4,45837
0,66,66,4,14839
0,36,36,4,75303
0,133,133,4,21678
0,96,96,4,66779
0,48,48,4,34439
0,136,136,4,2711
0,106,106,4,80092
0,150,150,4,41129
0,41,41,4,19568
0,200,200,4,57226
0,178,178,4,97267
1,50,200,4,55087
0,31,31,4,12694
0,108,108,4,13823
0,154,154,4,11046
0,159,159,4,48826
0,78,78,4,67488
0,161,161,4,65501
0,123,123,4,91071
0,40,40,4,76867
1,111,261,4,4852
0,54,54,4,80929
0,123,123,4,3551
0,108,108,4,34532
0,139,139,4,25617
0,129,129,4,2483
